Software: ,GCTS CATS Advanced (WIN-CATS-ADV) [G2],Version: ,3.04,,,,,
Project: ,BMD-MORSHED,,,,,,,
Sample: ,DIC_TRIAL_S3_071626,,,,,,,
Test: ,Dynamic Modulus,,,,,,,
Specimen: ,S33BP_50,,,,,,,
Number: ,001,,,,,,,
Description: ,_,,,,,,,
Container ID: ,_,,,,,,,
Tested By: ,_MORSHED,,,,,,,
Average Diameter: ,150,(mm),,,,,,
Average Height (H): ,62.335,(mm),,,,,,
Axial Gauge Length (GL): ,101.6,(mm),,,,,,
Temperature: ,-10,(deg C),,,,,,
Confining Pressure: ,0,(kPa),,,,,,
AC Binder: ,Other,,,,,,,
,A: ,0,,,,,,
,VTS: ,0,,,,,,
,|Gb*|: ,0,(MPa),,,,,
,Phase Angle: ,0,(deg),,,,,
Starting Date: , 7/20/26,,,,,,,
Starting Time: ,10:06:49,,,,,,,
Pump: ,High Pressure,,,,,,,
Test Results: ,Stopped by User,,,,,,,
,Type: ,Universal,,,,,,
,,Duration: ,22.3,(sec),,,,
,,,,Max,Min,Range,Initial,End
3.924,17.08,3.22,2107,458.467,,,,
3.949,17.118,3.242,2111,460.38,,,,
3.974,17.029,3.262,2100,460.499,,,,
3.999,17.09,3.284,2108,459.568,,,,
4.024,16.955,3.304,2091,461.848,,,,
4.049,17,3.326,2097,461.789,,,,
4.074,16.905,3.345,2085,462.547,,,,
4.099,16.948,3.367,2090,463.399,,,,
4.124,16.846,3.387,2078,462.667,,,,
4.149,16.869,3.409,2081,462.926,,,,
4.174,16.754,3.428,2066,464.738,,,,
4.199,16.817,3.451,2074,464.13,,,,
4.224,16.695,3.469,2059,465.994,,,,
4.249,16.731,3.493,2064,464.837,,,,
4.274,16.604,3.512,2048,466.364,,,,
4.299,16.651,3.534,2054,465.195,,,,
4.324,16.538,3.553,2040,466.968,,,,
4.349,16.601,3.577,2048,465.136,,,,
4.374,16.451,3.595,2029,466.836,,,,
4.399,16.511,3.617,2037,468.044,,,,
4.424,16.381,3.637,2021,467.368,,,,
4.449,16.439,3.659,2028,468.725,,,,
4.474,16.331,3.679,2014,468.809,,,,
4.499,16.356,3.701,2017,468.974,,,,
4.524,16.233,3.72,2002,469.341,,,,
4.549,16.288,3.743,2009,468.763,,,,
4.574,16.156,3.762,1993,469.435,,,,
4.599,16.196,3.784,1998,468.889,,,,
4.624,16.089,3.804,1985,470.139,,,,
4.649,16.12,3.826,1988,470.651,,,,
4.674,15.997,3.845,1973,471.134,,,,
4.699,16.027,3.868,1977,469.725,,,,
4.724,15.92,3.887,1964,470.549,,,,
4.749,15.947,3.91,1967,469.752,,,,
4.774,15.816,3.928,1951,471.029,,,,
4.799,15.847,3.952,1955,469.637,,,,
4.824,15.705,3.969,1937,469.797,,,,
4.849,15.752,3.994,1943,471.098,,,,
4.874,15.601,4.011,1924,469.684,,,,
4.899,15.675,4.035,1933,470.966,,,,
4.924,15.509,4.053,1913,470.098,,,,
4.949,15.544,4.076,1917,469.168,,,,
4.974,15.438,4.095,1904,469.109,,,,
4.999,15.463,4.118,1907,469.797,,,,
5.024,15.317,4.137,1889,470.64,,,,
5.049,15.372,4.16,1896,470.131,,,,
5.074,15.259,4.179,1882,468.737,,,,
5.099,15.282,4.201,1885,468.082,,,,
5.124,15.164,4.221,1870,469.304,,,,
5.149,15.162,4.243,1870,467.214,,,,
5.174,15.03,4.262,1854,467.699,,,,
5.199,15.073,4.285,1859,466.146,,,,
5.224,14.947,4.303,1844,467.151,,,,
5.249,14.954,4.327,1844,466.596,,,,
5.274,14.839,4.345,1830,464.215,,,,
5.299,14.867,4.368,1834,465.117,,,,
5.324,14.735,4.387,1818,463.48,,,,
5.349,14.77,4.41,1822,463.983,,,,
5.374,14.627,4.429,1804,463.173,,,,
5.399,14.665,4.451,1809,461.049,,,,
5.424,14.537,4.471,1793,463.861,,,,
5.449,14.553,4.493,1795,462.592,,,,
5.474,14.429,4.512,1780,461.447,,,,
5.499,14.443,4.534,1781,461.234,,,,
5.524,14.352,4.554,1770,459.394,,,,
5.549,14.345,4.576,1769,458.424,,,,
5.574,14.259,4.596,1759,458.831,,,,
5.599,14.264,4.618,1759,458.727,,,,
5.624,14.142,4.637,1744,458.16,,,,
5.649,14.18,4.66,1749,457.127,,,,
5.674,14.049,4.679,1733,456.141,,,,
5.699,14.065,4.702,1735,457.166,,,,
5.724,13.951,4.72,1721,454.16,,,,
5.749,13.983,4.743,1725,454.728,,,,
5.774,13.85,4.762,1708,455.976,,,,
5.799,13.89,4.785,1713,454.625,,,,
5.824,13.751,4.803,1696,454.045,,,,
5.849,13.792,4.827,1701,453.33,,,,
5.874,13.671,4.846,1686,453.394,,,,
5.899,13.68,4.868,1687,453.361,,,,
5.924,13.61,4.888,1679,451.877,,,,
5.949,13.578,4.91,1675,450.732,,,,
5.974,13.49,4.929,1664,451.82,,,,
5.999,13.489,4.951,1664,451.099,,,,
6.024,13.403,4.97,1653,451.139,,,,
6.049,13.416,4.994,1655,450.301,,,,
6.074,13.285,5.012,1639,450.998,,,,
6.099,13.323,5.035,1643,448.531,,,,
6.124,13.194,5.053,1627,448.926,,,,
6.149,13.246,5.077,1634,449.997,,,,
6.174,13.105,5.096,1616,448.155,,,,
6.199,13.13,5.118,1619,449.024,,,,
6.224,13.029,5.138,1607,448.267,,,,
6.249,13.028,5.16,1607,448.275,,,,
6.274,12.945,5.179,1597,449.92,,,,
6.299,12.948,5.201,1597,448.792,,,,
6.324,12.844,5.221,1584,447.72,,,,
6.349,12.86,5.244,1586,448.14,,,,
6.374,12.755,5.263,1573,448.31,,,,
6.399,12.76,5.285,1574,444.56,,,,
6.424,12.663,5.305,1562,448.649,,,,
6.449,12.668,5.326,1562,448.198,,,,
6.474,12.563,5.346,1550,446.164,,,,
6.499,12.569,5.368,1550,448.671,,,,
6.524,12.491,5.388,1541,448.564,,,,
6.549,12.489,5.41,1540,448.519,,,,
6.574,12.396,5.43,1529,448.446,,,,
6.599,12.401,5.451,1530,447.218,,,,
6.624,12.327,5.471,1520,449.272,,,,
6.649,12.312,5.493,1519,446.972,,,,
6.674,12.235,5.512,1509,449.274,,,,
6.699,12.25,5.535,1511,450.185,,,,
6.724,12.163,5.555,1500,451.243,,,,
6.749,12.155,5.577,1499,450.36,,,,
6.774,12.07,5.596,1489,452.446,,,,
6.799,12.092,5.619,1492,451.403,,,,
6.824,11.981,5.637,1478,453.429,,,,
6.849,12.01,5.66,1481,451.694,,,,
6.874,11.904,5.679,1468,451.774,,,,
6.899,11.941,5.702,1473,453.29,,,,
6.924,11.821,5.721,1458,452.516,,,,
6.949,11.831,5.744,1459,453.273,,,,
6.974,11.758,5.763,1450,454.175,,,,
6.999,11.739,5.784,1448,455.722,,,,
7.024,11.694,5.805,1442,454.23,,,,
7.049,11.691,5.826,1442,456.598,,,,
7.074,11.612,5.846,1432,455.8,,,,
7.099,11.619,5.869,1433,456.989,,,,
7.124,11.514,5.887,1420,457.06,,,,
7.149,11.527,5.91,1422,457.859,,,,
7.174,11.453,5.93,1413,458.792,,,,
7.199,11.463,5.952,1414,459.863,,,,
7.224,11.355,5.971,1401,460.989,,,,
7.249,11.374,5.993,1403,458.758,,,,
7.274,11.28,6.013,1391,462.159,,,,
7.299,11.303,6.035,1394,462.509,,,,
7.324,11.221,6.055,1384,461.996,,,,
7.349,11.203,6.077,1382,463.15,,,,
7.374,11.134,6.096,1373,462.403,,,,
7.399,11.155,6.119,1376,462.728,,,,
7.424,11.07,6.138,1365,462.871,,,,
7.449,11.074,6.16,1366,464.96,,,,
